"No","Name","Price","Quantity"
49,"มะละกอแขกดำ ขนาดใหญ่","0-0","กิโลกรัม"
50,"มะละกอฮอลแลนด์ ขนาดจัมโบ้","0-0","กิโลกรัม"
51,"มะละกอแขกนวล ขนาดใหญ่","0-0","กิโลกรัม"
52,"มะละกอแขกดำ ขนาดกลาง","0-0","กิโลกรัม"
53,"มะละกอแขกดำ ขนาดเล็ก","0-0","กิโลกรัม"
54,"ชมพู่เพชรสายรุ้ง ขนาดเล็ก","0-0","กิโลกรัม"
55,"ชมพู่เพชรสายรุ้ง คละขนาด","0-0","กิโลกรัม"
56,"ชมพู่เขียวอำพัน คละขนาด","0-0","กิโลกรัม"
57,"ชมพู่เพชรสายรุ้ง ขนาดกลาง","0-0","กิโลกรัม"
58,"ชมพู่ทูลเกล้า คละขนาด","0-0","กิโลกรัม"
59,"มะไฟไข่เต่า – เบอร์กลาง","0-0",""
60,"มะไฟไข่เต่า – เบอร์เล็ก","0-0",""
61,"ชมพู่เพชรสายรุ้ง ขนาดใหญ่","0-0","กิโลกรัม"
62,"ชมพู่ทับทิมจันทร์ คละขนาด","0-0","กิโลกรัม"
63,"ชมพู่เพชรสามพราน คละขนาด","0-0","กิโลกรัม"
64,"แก้วมังกร เนื้อขาว (เวียดนาม) คละขนาด","0-0","กิโลกรัม"
65,"แก้วมังกร เนื้อแดง (เวียดนาม) ขนาดกลาง","60-65","กิโลกรัม"
66,"แก้วมังกร เนื้อแดง (เวียดนาม) คละขนาด","0-0","กิโลกรัม"
67,"ส้มโชกุน – เบอร์ 7","0-0",""
68,"ส้มสายน้ำผึ้ง ตราธนาธร – กล่อง 54 ลูก","0-0",""
69,"ส้มซันควิก นิวซีแลนด์ – กล่อง 88 ลูก","0-0",""
70,"ส้มเหนือสายน้ำผึ้ง – เบอร์ 7","42-43",""
71,"ส้มเหนือสายน้ำผึ้ง – เบอร์ 6","31-40",""
72,"ส้มเหนือฟรีมองต์ – เบอร์ 4","0-0",""
73,"ส้มสายน้ำผึ้ง ตราฮันนี่ – กล่อง 54 ลูก","0-0",""
74,"ส้มเหนือสายน้ำผึ้ง – เบอร์ 5","45-50",""
75,"ส้มเหนือฟรีมองต์ – เบอร์ 5","0-0",""
76,"ส้มโชกุน – เบอร์ 3","0-0",""
77,"ส้มโชกุน – เบอร์ 4","0-0",""
78,"ส้มซันคิสท์ (บราซิล)","0-0","กล่อง"
79,"ส้มโชกุน – เบอร์ 6","0-0",""
80,"ส้มซันควิก อเมริกา – กล่อง 64 – 113 ลูก","680-1150",""
81,"ส้มสายน้ำผึ้ง ตราตะวัน – กล่อง 60 ลูก","0-0",""
82,"ส้มสายน้ำผึ้ง ตราธนาธร – กล่อง 60 ลูก","0-0",""
83,"ส้มเหนือสายน้ำผึ้ง – เบอร์ 4","40-45",""
84,"ส้มเหนือนัมเบอร์วัน – เบอร์ 7","0-0",""
85,"ส้มสายน้ำผึ้ง คละขนาด","0-0","กิโลกรัม"
86,"ส้มซันควิก จีน – กล่อง12 – 88 ลูก","450-650",""
87,"ส้มเหนือนัมเบอร์วัน – เบอร์ 6","0-0",""
88,"ส้มเขียวหวาน เบอร์ 4","12-14","กิโลกรัม"
89,"ส้มโชกุน – เบอร์ 5","0-0",""
90,"ส้มสายน้ำผึ้ง ตราตะวัน – กล่อง 54 ลูก","0-0",""
91,"ส้มสายน้ำผึ้ง ตราธนาธร – กล่อง 84 ลูก","0-0",""
92,"ส้มเหนือนัมเบอร์วัน – เบอร์ 5","0-0",""
93,"ส้มเหนือฟรีมองต์ – เบอร์ 7","0-0",""
94,"ส้มเขียวหวาน คละขนาด","0-0","กิโลกรัม"
95,"ส้มซันควิก ออสเตรเลีย กล่อง 64 – 72 ลูก","750-1250",""
96,"ส้มสายน้ำผึ้ง ตราฮันนี่ – กล่อง 60 ลูก","0-0",""
97,"ส้มเหนือนัมเบอร์วัน – เบอร์ 3","0-0",""
98,"ส้มเขียวหวาน เบอร์ 5","8-10","กิโลกรัม"
99,"ส้มเขียวหวาน เบอร์ 000","0-0","กิโลกรัม"
100,"ส้มสายน้ำผึ้ง ตราฮันนี่ – กล่อง 72 ลูก","0-0",""
101,"ส้มสายน้ำผึ้ง ตราตะวัน – กล่อง 72 ลูก","0-0",""
102,"ส้มสายน้ำผึ้ง ตราธนาธร – กล่อง 72 ลูก","0-0",""
103,"ส้มซันควิก บราซิล – กล่อง 15 ลูก","0-0",""
104,"ส้มเหนือนัมเบอร์วัน – เบอร์ 4","0-0",""
105,"ส้มเหนือฟรีมองต์ – เบอร์ 6","0-0",""
106,"ลองกอง (ช่อ) เบอร์ใหญ่","70-80",""
107,"ลองกอง (ช่อ) เบอร์กลาง","60-65",""
108,"ลองกอง (ช่อ) เบอร์เล็ก","35-40",""
109,"สละ – เบอร์ใหญ่","48-50",""
110,"สละ – เบอร์กลาง","36-38",""
111,"สละ – เบอร์เล็ก","36-38",""
112,"สละเนินวงศ์ – ยอด","0-0",""
113,"น้อยหน่า คละขนาด","0-0","กิโลกรัม"
114,"น้อยหน่า ขนาดใหญ่","60-65",""
115,"น้อยหน่าเพชรปากช่อง คละขนาด","38-40","กิโลกรัม"
116,"น้อยหน่า ขนาดเล็ก","45-45",""
117,"สตรอว์เบอร์รี่ (ออสเตรเลีย)","1250-1450","กล่อง"
118,"แอปเปิลวอชิงตัน เบอร์ 216","0-0","กล่อง"
119,"แอปเปิลวอชิงตัน เบอร์ 72","0-0","กล่อง"
120,"แอปเปิลพิงค์เลดี้ เบอร์ 126","830-850","กล่อง"
121,"แอปเปิลเอนวี่ เบอร์ 40","0-0","กล่อง"
122,"แอปเปิลวอชิงตัน เบอร์ 88","0-0","กล่อง"
123,"แอปเปิลวอชิงตัน เบอร์ 100","1540-1750","กล่อง"
124,"แอปเปิลวอชิงตัน เบอร์ 56","0-0","กล่อง"
125,"แอปเปิลแจ๊ส เบอร์ 165","1260-1260","กล่อง"
126,"แอปเปิลแจ๊ส เบอร์ 110","1150-1450","กล่อง"
